title,brief_description,full_description,url,location,salary_range,job_type,contract_type,position_name,industry,required_education,time_length,hours,date_parsed
Operator,Ambitie om door te groeien tot productieleider? Bekijk hier jouw uitdaging!,"Je gaat bij deze organisatie aan de slag waar ze diverse dranken produceren. Je moet hierbij denken aan verschillende soorten frisdrank in drie verschillende soorten verpakkingen, plastic, karton en glas. Je gaat die doen in een dynamisch team waar jij de kans krijgt om door te groeien tot bijvoorbeeld productieleider. Je gaat een uitstekend salaris verdienen tot wel € 2.900,- bruto per maand in de 2 ploegendienst! Meer weten? Lees snel verder!",https://www.pro-industry.nl/vacature/operator-P075759,Utrecht,€2.500-2.900,3 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,"Dranken, voedingsmiddelen",mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Procesoperator b,"Ben jij een ervaren procesoperator en zoek jij een nieuwe uitdaging binnen de chemie? En wil jij werken in 5 ploegen, een zeer aantrekkelijk salaris verdienen en direct op contract?","Ben jij een ervaren procesoperator en zoek jij een nieuwe uitdaging binnen de chemie? En wil jij werken in 5 ploegen, een zeer aantrekkelijk salaris verdienen en direct op contract? Dan is dit jouw kans! Een vooraanstaande fabrikant van chemische grondstoffen is op zoek naar een procesoperator met ervaring en een diploma procesoperator B. Binnen de branche waarin ze werkzaam zijn worden ze gezien als een van de meest milieuvriendelijke bedrijven. Wil jij een baan met toekomstperspectief waarbij jij je kunt blijven ontwikkelen en daarnaast ook nog eens direct in dienst treden bij deze opdrachtgever? Lees snel verder!",https://www.pro-industry.nl/vacature/procesoperator-b-P075761,Oosterhout,€3.000-3.800,5 ploegendienst,Vast contract,Procesoperator,Chemie,mbo niveau 3,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,Wil jij werken in een uitdagende baan met uitzicht op een vast contract?,"Wil jij aan de slag als operator en ben jij klaar voor een nieuwe uitdaging in jouw carrière, heb je affiniteit voor techniek en wil jij graag aan de slag bij een wereldwijd bedrijf? Onze klant  richt zich in de verpakkingsoplossingen en bedrukt specialistische verpakkingen zoals premium kartonnen dozen, labels en bijsluiters. Samen met jouw collega´s ben je werkzaam op de afdeling vouwen. Op deze afdeling worden de papieren bijsluiters omgezet naar gevouwen bijsluiters met behulp van diverse vouwmachines. Ben jij klaar voor de uitdaging, wil je fantastisch gaan verdienen en zicht hebben op een vaste aanstelling? Lees dan snel verder!",https://www.pro-industry.nl/vacature/operator-P074573,Oss,€2.000-2.400,3 ploegendienst,Tijdelijk met uitzicht op vast,"Procesoperator, machineoperator, technisch overig",Verpakking,vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Logistiek medewerker,Een logistieke baan in een leuk team!,"Werken bij een internationaal bedrijf als logistiek medewerker waar je de gehele afdeling in goede banen mag leiden. Je komt in een dagdienst te werken en zal samen met jouw collega's zorgen dat alle afdelingen voorzien zijn van materialen. Naast een leuk team kun je ook een mooi salaris verdienen tot wel € 2.200,- bruto per maand. Klinkt deze uitdaging je als muziek in de oren? Kijk snel wat de functie nog meer te bieden heeft!",https://www.pro-industry.nl/vacature/logistiek-medewerker-P074805,Lelystad,€1.900-2.200,Dagdienst,Tijdelijk met uitzicht op vast,Logistiek,Transport en logistiek,basisonderwijs,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,"5-ploegendienst - Fulltime - € 3.200,- bruto","Wil jij als operator werken in de 5-ploegendienst en tot wel € 3.800,- bruto verdienen per maand? Als operator binnen deze moderne en geavanceerde productielocatie ga jij afvalhout verwerken voor de productie van klossen. Middels interne opleidingen en cursussen krijg jij de kans om je verder te ontwikkelen. Is dit waar jij op zoek naar bent? Lees gauw verder!",https://www.pro-industry.nl/vacature/operator-P075080,Emmen,€3.200-3.850,5 ploegendienst,Tijdelijk met uitzicht op vast,Procesoperator,Hout en isolatiemateriaal,mbo niveau 2,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Expeditiemedewerker,Wil jij werken op een groot tasveld waar je veel verantwoordelijkheden draagt?,"Als expeditiemedewerker ben jij het aanspreekpunt voor de heftruckchauffeurs en externe vrachtwagenchauffeurs. Je zorgt dat de vrachten klaar staan en daarnaast ben je samen met je collega’s verantwoordelijk voor orde en netheid en de dagelijkse gang van zaken op het tasveld. Wil jij werken in de dagdienst binnen de keramische industrie? Ga dan aan de slag als expeditiemedewerker! Je gaat tot wel € 2.600,- bruto per maand verdienen. Meer weten? Lees dan snel verder!",https://www.pro-industry.nl/vacature/expeditiemedewerker-P075081,Arnhem,€2.200-2.600,"2 ploegendienst, dagdienst",Tijdelijk met uitzicht op vast,Logistiek,Transport en logistiek,vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Logistiek medewerker,"Wil jij tot €3.100,- bruto per maand verdienen? Heb jij ervaring opgedaan als logistiek medewerker?","Ben jij ambitieus en wil je graag kunnen doorgroeien naar een rol van teamleider? Wil je werken in een vijfploegendienst? Heb jij ervaring als logistiek medewerker in de voedingsmiddelenindustrie? Ga dan aan de slag bij dit toonaangevende bedrijf! Je gaat werken in de 5 ploegendienst en tot wel € 3.100,- bruto per maand verdienen, inclusief ploegentoeslag. Al enthousiast geworden? Lees dan snel verder!",https://www.pro-industry.nl/vacature/logistiek-medewerker-P075082,Ede,€2.700-3.100,5 ploegendienst,Tijdelijk met uitzicht op vast,Logistiek,Transport en logistiek,vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Procesoperator 5-ploegen,"Is het nou friet of patat? Dat maakt voor jou niet uit, als het maar van de beste kwaliteit is!","Ben jij een echte operator die binnen de voedingsmiddelenindustrie een lekker salaris wilt verdienen tot € 3500,-? Je zult beginnen in een 3-ploegenrooster en uiteindelijk mee schakelen naar de 5-ploegen in het eerste kwartaal van 2023. Bij deze mooie organisatie zijn ze gespecialiseerd in het produceren van de favoriete avondmaaltijd van Nederland, namelijk overheerlijke frietjes!",https://www.pro-industry.nl/vacature/procesoperator-5-ploegen-P074468,Venlo,€3.000-3.500,"3 ploegendienst, 5 ploegendienst",Tijdelijk met uitzicht op vast,Procesoperator,Voedingsmiddelen,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Monteur,Dagelijks je steentje bijdragen als leerling monteur in Amsterdam?,"Wil jij als leerling monteur aan de slag bij een mooi bedrijf dat ervoor zorgt dat overal door Europa bestrating aanwezig is? Je kunt hier tot wel € 3.300,- bruto per maand, inclusief 19,5% ploegentoeslag, verdienen en je gaat aan de slag in de 3-ploegendienst. Daarnaast krijg je hier de kans om jezelf te ontwikkelen en diverse cursussen te volgen. Ben jij technisch en op zoek naar een vaste werkgever in de betonindustrie die in jou gaat investeren? Lees dan snel verder!",https://www.pro-industry.nl/vacature/monteur-P075768,Amsterdam,€2.600-3.300,3 ploegendienst,Tijdelijk met uitzicht op vast,Technische dienst,"Beton en keramisch, machines en assemblage, technologie",mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Productiemedewerker,Wil jij in dagdienst werken als productiemedewerker bij een innovatieve organisatie?,Als productiemedewerker heb jij bij deze organisatie een super leuke uitdaging! Jij gaat namelijk aan de hand van werkinstructies kwalitatief hoogwaarde kozijnen produceren. Deze organisatie staat bekend als een innovatief bedrijf dat constant in ontwikkeling en streeft naar de hoogst mogelijke kwaliteit. Hierdoor zijn zij al jaren een grote speler op het gebied van kozijnen. Binnen de organisatie krijg jij alle ruimte om jezelf te ontwikkelen en creatief bezig te zijn. Daarnaast heb jij een functie met veel vrijheid en verantwoordelijkheid. Wordt jij hier enthousiast van? Lees dan snel verdere en solliciteer direct!,https://www.pro-industry.nl/vacature/productiemedewerker-P075085,Hengevelde,€2.000-2.250,Dagdienst,Tijdelijk met uitzicht op vast,Productie,"Hout en isolatiemateriaal, machines en assemblage",vmbo,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,Ervaren operator in de voedingsmiddelenindustrie gezocht!,"Voor één van onze internationale klanten gevestigd in het mooie Roosendaal zijn wij opzoek naar ervaren operators in de voedingsmiddelenindustrie. Je komt te werken bij een bedrijf dat zich specialiseert in het produceren en verwerken van snoepgoed en chocola. Werkend in een twee of drie ploegensysteem kun je hier een mooi salaris verdienen tot wel €3000,- bruto inclusief toeslagen. Ben jij net zo enthousiast over deze vacature als dat wij zijn? Lees dan snel verder voor de werkzaamheden.",https://www.pro-industry.nl/vacature/operator-P074581,Roosendaal,€2.600-3.000,2 ploegendienst,Tijdelijk met uitzicht op vast,Productie,Verpakking,mbo niveau 1,3 tot 5 jaar,40 uur,2022-12-19 19:37:33.192229
Operator 3-ploegen,Kampioen in het bedienen van machines?,"Ben jij een echte operator die graag in de champignonteelt aan de gang gaat in een 3-ploegenrooster? Wil je daar een lekker salaris tot € 2850,- bruto per maand mee verdienen? Dan is dit de vacature voor jou! Bij dit mooie bedrijf gelegen in Milsbeek zijn ze gespecialiseerd in het produceren van substraten voor de teelt van champignons.",https://www.pro-industry.nl/vacature/operator-3-ploegen-P075088,Cuijk,€2.350-2.850,3 ploegendienst,Tijdelijk met uitzicht op vast,Machineoperator,Voedingsmiddelen,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Kraanmachinist,Werk je graag in de ploegen en zoek je een nieuwe baan waarbij je kan werken met een kraan?,"Heb jij ervaring opgedaan met een bovenloopkraan en ben jij toe aan een uitdagende baan als bovenloopkraan machinist? Samen met je collega`s draag jij de verantwoordelijkheid voor een goed lopend proces. Met het oog op veiligheid voer jij jouw werkzaamheden uit in een functie in een 3-ploegendienst. Ben jij op zoek naar een baan waar je tot € 2.800,- bruto per maand kunt verdienen en waar je uitzicht hebt op een vaste aanstelling? Lees dan snel verder!",https://www.pro-industry.nl/vacature/kraanmachinist-P074583,Moerdijk,€2.500-3.000,3 ploegendienst,Tijdelijk met uitzicht op vast,Logistiek,"Metaal, transport en logistiek",mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator,Wil jij vast in dienst treden en goed verdienen?,"Ben jij een operator die affiniteit heeft met techniek en sta jij open voor een topfunctie binnen de procesindustrie? Dan is dit de baan die jij moet hebben! Als operator ga jij zorgen voor een feilloos verloop van het productieproces binnen een groeiende organisatie. Jij gaat onderhoudswerkzaamheden uitvoeren, storingen detecteren, het oplossen daarvan en de kwaliteit van het eindproduct waarborgen. Tevens zul jij met jouw expertise gemakkelijk nieuwe werknemers inwerken en de TD ondersteunen indien nodig. Wil jij werken in de 3-ploegendienst voor een goed salaris dat kan oplopen tot €3400 bruto per maand inclusief ploegentoeslag? Reageer dan direct!",https://www.pro-industry.nl/vacature/operator-P074584,Winschoten,€2.800-3.400,3 ploegendienst,Tijdelijk met uitzicht op vast,"Procesoperator, productie",Rubber en kunststof,mbo niveau 2,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Operator 2 ploegendienst,Wil jij werken bij een innovatief bedrijf tegen een goed salaris?,"Wil jij aan de slag bij een innovatief bedrijf dat is gespecialiseerd in het maken van componenten voor grote elektronische installaties zoals windmolens en elektriciteitscentrales over de hele wereld? Door de grote hoeveelheden stroom die door deze componenten worden verplaatst is het belangrijk dat ze perfect worden geproduceerd en gecontroleerd. Dit gebeurt zelfs met röntgenapparatuur! Als operator heb jij dus een belangrijke rol op het gebied van elektriciteit. Ben jij opzoek naar een gave baan in de twee ploegendienst met een salaris dat kan oplopen tot wel € 2.900,-? Lees dan snel verder!",https://www.pro-industry.nl/vacature/operator-2-ploegendienst-P074474,Almelo,€2.450-2.900,2 ploegendienst,Tijdelijk met uitzicht op vast,"Procesoperator, machineoperator","Beton en keramisch, chemie, rubber en kunststof",basisonderwijs,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Technisch operator,Wil jij een uitdagende baan met een goed toekomstperspectief?,"Heb jij de techniek in de vingers zitten, heb je eerder als operator gewerkt en zoek je een nieuwe baan? Lees dan snel verder! Als operator in de verpakkingsindustrie heb je een baan vol uitdaging en een mooi toekomstperspectief. Jij bent verantwoordelijk voor het instellen, ombouwen en bedienen van de machines. Daarnaast zorg je voor de toevoer van grondstoffen, los je storingen op en voer je kwaliteitscontroles uit. Verder heb je als operator een mooi toekomstperspectief met doorgroeimogelijkheden. Werk jij graag in de 3-ploegendienst en wil je een goed salaris verdienen dat kan oplopen tot €3.300,- bruto per maand? Solliciteer dan snel!",https://www.pro-industry.nl/vacature/technisch-operator-P075094,Groningen,€2.600-3.300,3 ploegendienst,Tijdelijk met uitzicht op vast,Machineoperator,Verpakking,mbo niveau 3,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Logistiek medewerker,Dagdienst - Goed salaris verdienen - volgen van opleidingstrajecten - uitzicht op een contract voor onbepaalde tijd.,Altijd in dagdienst willen werken bij een producent van hoogwaardige glasvezelkabels? Als logistieke medewerker zorg jij samen met jouw collega's dat het gehele magazijn op orde is en dat de producten op de juiste manier verzonden worden. Ben jij leergierig dan is dit de organisatie waar jij voor wilt werken! Man stimuleert het namelijk als jij cursussen of opleidingen wil volgen! Ben jij enthousiast geworden? Lees dan snel verder!,https://www.pro-industry.nl/vacature/logistiek-medewerker-P074478,Eindhoven,€2.250-2.750,Dagdienst,Tijdelijk contract,Logistiek,Transport en logistiek,mbo niveau 1,,40 uur,2022-12-19 19:37:33.192229
Operator,Ben jij de operator die wij zoeken voor in de verpakkingsindustrie?,Als Operator ga je hier aan de slag bij een gevestigde naam in de co-packaging wereld. Het gaat om een functie waarbij je veel zelfstandige keuzes mag maken en er altijd ruimte is voor innovatie. Wil jij deel uit maken van een bedrijf dat meer dan 200 miljoen producten per jaar verpakt? Ben jij een teamspeler met een grote portie mechanische kennis en enthousiasme?Lees dan snel verder!,https://www.pro-industry.nl/vacature/operator-P074479,Bergen op zoom,€2.000-2.500,2 ploegendienst,Tijdelijk met uitzicht op vast,Productie,Verpakking,mbo niveau 3,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Assemblagemedewerker,Vind jij bijtanken overrated en ben je graag technisch bezig?,"Werk jij graag mee aan een innovatief product van composiet en ben jij graag technisch bezig? Jij gaat ervoor zorgen dat heel Nederland weer bevoorraad kan worden met diverse vloeistoffen. Ben jij opzoek naar een baan in de dagdienst waar je aanspraak maakt op zowel een vast contract als een goed salaris tot wel €2.500,- bruto per maand? Lees dan direct verder!",https://www.pro-industry.nl/vacature/assemblagemedewerker-P074480,Hoorn,€2.000-2.500,Dagdienst,Tijdelijk met uitzicht op vast,Productie,"Machines en assemblage, rubber en kunststof",mbo niveau 1,1 tot 3 jaar,40 uur,2022-12-19 19:37:33.192229
Productiemedewerker dagdienst,Goede salarissen - assemblage - vast contract,"Ook een goed salaris verdienen met uitzicht op een vast contract? Kom dan aan de slag als productiemedewerker in een technische omgeving. Als productiemedewerker ga jij, binnen de gestelde kaders en juiste hoeveelheden, kwalitatief goede producten produceren. Je gaat werken met verschillende gereedschappen en machines. Klinkt het interessant? Scroll dan verder en kijk of jij bij ons matcht!",https://www.pro-industry.nl/vacature/productiemedewerker-dagdienst-P074481,Eindhoven,€1.900-2.200,Dagdienst,Tijdelijk met uitzicht op vast,Productie,Machines en assemblage,mbo niveau 2,,40 uur,2022-12-19 19:37:33.192229
